age,sex,n,cohort,Percentage
32,I,NA,TPP,NA
32,Males,174782,TPP,1.4500000000000002
32,Unknown,8,TPP,2.75
33,Females,169720,TPP,1.41
33,Males,172405,TPP,1.43
33,Unknown,NA,TPP,NA
34,Females,168444,TPP,1.4000000000000001
34,I,NA,TPP,NA
34,Males,173750,TPP,1.44
34,Unknown,NA,TPP,NA
35,Females,166746,TPP,1.39
35,I,NA,TPP,NA
35,Males,171118,TPP,1.4200000000000002
35,Unknown,NA,TPP,NA
36,Females,163230,TPP,1.3599999999999999
36,I,NA,TPP,NA
36,Males,170566,TPP,1.4200000000000002
36,Unknown,NA,TPP,NA
37,Females,161390,TPP,1.34
37,I,NA,TPP,NA
37,Males,169985,TPP,1.41
37,Unknown,NA,TPP,NA
38,Females,161068,TPP,1.34
38,I,NA,TPP,NA
38,Males,169612,TPP,1.41
38,Unknown,NA,TPP,NA
39,Females,164255,TPP,1.3599999999999999
39,I,NA,TPP,NA
39,Males,173503,TPP,1.44
39,Unknown,NA,TPP,NA
40,Females,158270,TPP,1.32
40,I,NA,TPP,NA
40,Males,169114,TPP,1.41
40,Unknown,NA,TPP,NA
41,Females,148107,TPP,1.23
41,I,NA,TPP,NA
41,Males,159382,TPP,1.3299999999999998
41,Unknown,NA,TPP,NA
42,Females,139403,TPP,1.16
42,I,NA,TPP,NA
42,Males,150767,TPP,1.25
42,Unknown,NA,TPP,NA
43,Females,141789,TPP,1.18
43,I,NA,TPP,NA
43,Males,152196,TPP,1.27
43,Unknown,NA,TPP,NA
44,Females,142531,TPP,1.18
44,I,NA,TPP,NA
44,Males,152668,TPP,1.27
44,Unknown,NA,TPP,NA
45,Females,146415,TPP,1.22
45,I,NA,TPP,NA
45,Males,156575,TPP,1.3
45,Unknown,NA,TPP,NA
46,Females,150389,TPP,1.25
46,I,NA,TPP,NA
46,Males,158834,TPP,1.32
46,Unknown,NA,TPP,NA
47,Females,156607,TPP,1.3
47,I,NA,TPP,NA
47,Males,164407,TPP,1.37
47,Unknown,NA,TPP,NA
48,Females,163995,TPP,1.3599999999999999
48,I,NA,TPP,NA
48,Males,171380,TPP,1.4200000000000002
48,Unknown,NA,TPP,NA
49,Females,165056,TPP,1.37
49,I,NA,TPP,NA
49,Males,172216,TPP,1.43
49,Unknown,NA,TPP,NA
50,Females,162533,TPP,1.35
50,I,NA,TPP,NA
50,Males,170073,TPP,1.41
50,Unknown,NA,TPP,NA
